PaikkaNimi;Varaustyyppi;Kohdetyyppi;PaakohdeNimi;VarauksenTila;TuoreimmanVarauksenPaatymisaikaUtc;Varaustapa;Varattavissa;HintaAlv0;HintaAlv%;Aktiivinen;KeskipisteP;KeskipisteI
LauttarantaT075;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x7 m;Satama: Lauttaranta;Paattynyt;2020-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;169.3600;24.00;1;6701510.1071352856;23457482.619213097
LauttarantaT076;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x7 m;Satama: Lauttaranta;Paattynyt;2018-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;169.3600;24.00;1;6701507.5540647143;23457484.194586903
LauttarantaT077;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;169.3600;24.00;1;6701505.0009972248;23457485.769964714
LauttarantaT078;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x7 m;Satama: Lauttaranta;Paattynyt;2019-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;169.3600;24.00;1;6701502.4479027754;23457487.345335286
LauttarantaT079;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x7 m;Satama: Lauttaranta;Paattynyt;2021-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;169.3600;24.00;1;6701499.8948352858;23457488.920713097
LauttarantaT080;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x7 m;Satama: Lauttaranta;Paattynyt;2020-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;169.3600;24.00;1;6701497.3417647146;23457490.496086903
LauttarantaT081;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;169.3600;24.00;1;6701494.7886972241;23457492.071464714
LauttarantaT082;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701634.650076949;23457439.323571552
LauttarantaT083;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701631.1570253586;23457439.103205398
LauttarantaT084;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701627.6639746409;23457438.882694602
LauttarantaT085;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701624.1709230514;23457438.662328448
LauttarantaT086;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701620.6778792562;23457438.441848502
LauttarantaT087;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2021-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701617.1848207442;23457438.221451502
LauttarantaT088;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2017-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701613.691776949;23457438.000971552
LauttarantaT089;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701610.1987253586;23457437.780605398
LauttarantaT090;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701606.7056476921;23457437.560123052
LauttarantaT091;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2020-11-06 08:02:24.753;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701603.2126000002;23457437.339699998
LauttarantaT092;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2019-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701599.7195523074;23457437.119276948
LauttarantaT093;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701596.2264976921;23457436.898823053
LauttarantaT094;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2021-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701592.7334500002;23457436.678399999
LauttarantaT095;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701589.2404000005;23457436.45795
LauttarantaT096;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701585.7473499998;23457436.237500001
LauttarantaT097;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;169.3600;24.00;1;6701582.2543000001;23457436.017099999
LauttarantaT098;Talvisäilytyspaikat;Talvisäilytyspaikka 3x12 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;314.5200;24.00;1;6701578.7612500004;23457435.79665
LauttarantaT099;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x7 m;Satama: Lauttaranta;Paattynyt;2018-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;169.3600;24.00;1;6701575.2681999998;23457435.576200001
LauttarantaT100;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701551.4912999999;23457435.88445
LauttarantaT101;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701549.3129000003;23457437.111049999
LauttarantaT102;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701547.1344999997;23457438.337650001
LauttarantaT103;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701544.9561000001;23457439.56425
LauttarantaT104;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701542.7776862597;23457440.790866978
LauttarantaT105;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701540.59925;23457442.017450001
LauttarantaT106;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701538.4208171172;23457443.244019281
LauttarantaT107;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701536.2423966229;23457444.47056374
LauttarantaT108;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Voimassa;2023-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701534.0640000002;23457445.697149999
LauttarantaT109;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701531.8855999997;23457446.923750002
LauttarantaT110;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2018-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701529.7072000001;23457448.150350001
LauttarantaT111;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2020-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701527.5287999995;23457449.376949999
LauttarantaT112;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701525.3503862601;23457450.603566978
LauttarantaT113;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2020-08-28 07:30:23.017;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701523.1719500003;23457451.830150001
LauttarantaT114;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701520.9935499998;23457453.05675
LauttarantaT115;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701518.81511374;23457454.283333022
LauttarantaT116;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2020-10-31 16:58:59.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701516.6366999997;23457455.509950001
LauttarantaT117;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701514.4583000001;23457456.73655
LauttarantaT118;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701512.2799033774;23457457.963136259
LauttarantaT119;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701510.1014966229;23457459.189663738
LauttarantaT120;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701504.3127499996;23457462.207699999
LauttarantaT121;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2017-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701502.2805500003;23457463.663800001
LauttarantaT122;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701500.24835;23457465.119899999
LauttarantaT123;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;NULL;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701498.2161874566;23457466.576014407
LauttarantaT124;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701496.1840000004;23457468.032099999
LauttarantaT125;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;NULL;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701494.1518125432;23457469.488185592
LauttarantaT126;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2020-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701492.1196559491;23457470.944287457
LauttarantaT127;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701490.0874499995;23457472.400350001
LauttarantaT128;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2019-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701488.0552500002;23457473.856449999
LauttarantaT129;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701486.02305;23457475.312550001
LauttarantaT130;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2019-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701483.9908874566;23457476.768664408
LauttarantaT131;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701481.9586999994;23457478.224750001
LauttarantaT132;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701479.926512544;23457479.680835593
LauttarantaT133;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2021-09-29 08:55:43.973;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701477.8943499997;23457481.136950001
LauttarantaT134;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2021-10-07 13:01:17.607;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701475.8621500004;23457482.593049999
LauttarantaT135;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Voimassa;2023-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701473.8299440509;23457484.049112543
LauttarantaT136;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701471.7977499999;23457485.505200002
LauttarantaT137;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x10 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;221.7800;24.00;1;6701470.4360137191;23457488.326247171
LauttarantaT138;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x10 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;221.7800;24.00;1;6701467.9973922279;23457490.073560663
LauttarantaT139;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x10 m;Satama: Lauttaranta;Paattynyt;2020-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;221.7800;24.00;1;6701465.5587999998;23457491.820900001
LauttarantaT140;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x10 m;Satama: Lauttaranta;Paattynyt;2021-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;221.7800;24.00;1;6701463.1201499999;23457493.5682
LauttarantaT141;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x10 m;Satama: Lauttaranta;Paattynyt;2018-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;221.7800;24.00;1;6701460.6815077718;23457495.315539338
LauttarantaT142;Talvisäilytyspaikat;Talvisäilytyspaikka 2,5x10 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;221.7800;24.00;1;6701458.2429;23457497.062850002
LauttarantaT143;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701553.6697000004;23457434.657850001
LauttarantaT144;Talvisäilytyspaikat;Talvisäilytyspaikka 2x7 m;Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;145.1600;24.00;1;6701555.8481137399;23457433.431233022
LauttarantaT145;Talvisäilytyspaikat;Talvisäilytyspaikka 3,5x12 m;Satama: Lauttaranta;Paattynyt;2019-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;370.9700;24.00;1;6701567.2198500009;23457492.397950001
LauttarantaT146;Talvisäilytyspaikat;Talvisäilytyspaikka 3,5x12 m;Satama: Lauttaranta;Paattynyt;2021-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;370.9700;24.00;1;6701548.1208213586;23457494.584920406
LauttarantaTS001;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Voimassa;2023-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701454.0737500004;23457497.154600002
LauttarantaTS002;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701455.0445499998;23457498.903200001
LauttarantaTS003;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701456.01535;23457500.651799999
LauttarantaTS004;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Paattynyt;2020-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701456.9861500002;23457502.400350001
LauttarantaTS005;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Voimassa;2023-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701457.9569820734;23457504.148904406
LauttarantaTS006;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Voimassa;2023-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701458.9277999997;23457505.897500001
LauttarantaTS007;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701459.8986;23457507.6461
LauttarantaTS008;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701460.8694000002;23457509.394700002
LauttarantaTS009;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Voimassa;2023-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701461.8402000004;23457511.143300001
LauttarantaTS010;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Voimassa;2023-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701462.8109999998;23457512.891849998
LauttarantaTS011;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;0 - Julkisesti;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701463.7818;23457514.6404
LauttarantaTS012;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Voimassa;2023-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701464.7526000002;23457516.389000002
LauttarantaTS013;Soutuveneiden talvisäilytyspaikat;Talvisäilytyspaikka (soutuvene);Satama: Lauttaranta;Paattynyt;2022-05-31 20:59:00.000;1 - Vain kasittelija;Ei - varauskausi ei voimassa;56.4500;24.00;1;6701465.7234000005;23457518.137600001
Marina001;Venepaikat;Kylkipaikka 15 m HUOM. isoille veneille;Satama: Marina;Paattynyt;2022-05-20 12:02:26.043;0 - Julkisesti;Kylla - julkisesti;282.2600;24.00;1;6704048.6499827458;23459335.719354782
Marina002;Venepaikat;Kylkipaikka 15 m HUOM. isoille veneille;Satama: Marina;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;282.2600;24.00;1;6704055.7075237837;23459348.947003253
Marina003;Venepaikat;Kylkipaikka 15 m HUOM. isoille veneille;Satama: Marina;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;282.2600;24.00;1;6704062.7719592247;23459362.187515538
Marina004;Venepaikat;Kylkipaikka 15 m HUOM. isoille veneille;Satama: Marina;Paattynyt;2021-12-31 07:00:00.000;0 - Julkisesti;Kylla - julkisesti;282.2600;24.00;1;6704069.8368327767;23459375.419566002
Marina005;Venepaikat;Kylkipaikka 15 m HUOM. isoille veneille;Satama: Marina;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;282.2600;24.00;1;6704076.9043285428;23459388.601221703
Marina006;Venepaikat;Kylkipaikka 15 m HUOM. isoille veneille;Satama: Marina;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;282.2600;24.00;1;6704084.0022082599;23459401.839404162
Sointu001;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703798.4141500005;23459054.247749999
Sointu002;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703800.3092624107;23459057.118664443
Sointu003;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703802.2042875886;23459059.989635557
Sointu004;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703804.0993499998;23459062.860550001
Sointu005;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703805.9944624109;23459065.731464442
Sointu006;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703807.8895375887;23459068.602435559
Sointu007;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703809.7846500007;23459071.47335
Sointu008;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703811.679712411;23459074.344264444
Sointu009;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703813.5747375889;23459077.215235557
Sointu010;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703815.4698624108;23459080.086164441
Sointu011;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703817.3649375886;23459082.957135558
Sointu012;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703819.2600500006;23459085.828049999
Sointu013;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703821.1551268529;23459088.698967829
Sointu014;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703823.0501731467;23459091.56993217
Sointu015;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703824.9452499999;23459094.440850001
Sointu016;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703826.8403624101;23459097.311764441
Sointu017;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703828.7354375897;23459100.182735559
Sointu018;Venepaikat;Takapaalupaikka 3.1x8 m;Satama: Sointu;Voimassa;2022-12-31 07:00:00.000;0 - Julkisesti;Ei - toinen varaus voimassa;201.6100;24.00;1;6703830.6305144429;23459103.053653385
