Teho (kW);Määrä;Pistoke;Latauspiste nro;Osoite;X;Y;Hallinnoija_fi;Hallinnoija_sv;Hallinnoija_en;Latauskohde;Maksu;Sähköhinta (€/kWh);Tuntihinta (€/h);Käyttötapa;Tieto hankittu;Tiedot päivitetty ;Muuta
50;1;CHAdeMO;57;Viilarinkatu 3;23457458;6707108;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
22;4;Type 2;57;Viilarinkatu 3;23457458;6707108;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
43;1;Type 2;64;Piilipuunkatu 2;23453830,2;6710682,1;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
50;1;CCS;64;Piilipuunkatu 2;23453830,2;6710682,1;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
50;1;CHAdeMO;64;Piilipuunkatu 2;23453830,2;6710682,1;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
125;8;SuperCharger;65;Länsiportti 1;23478296;6703497;S-Ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;Tesla;;12.5.2022;
50;1;CCS;65;Länsiportti 1;23478296;6703497;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
50;1;CHAdeMO;65;Länsiportti 1;23478296;6703497;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
43;1;Type 2;65;Länsiportti 1;23478296;6703497;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
100;1;CCS;67;Kairiskulmantie 3;23462927;6700598;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
50;1;CHAdeMO;67;Kairiskulmantie 3;23462927;6700598;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
22;4;Type 2;67;Kairiskulmantie 3;23462927;6700598;S-ryhmä;S-gruppen;S-group;Julkinen;Maksullinen;;;ABC-lataus;;12.5.2022;
22;2;Tesla;29;Kongressikuja 1;23460907;6705525;Tesla;Tesla;Tesla;Asiakas/suljettu;Maksullinen;;;Tesla;;12.5.2022;
22;20;Type 2;17;Yliopistonkatu 29;23459664;6704639;Toriparkki;Torgparkeringen;Toriparkki;Julkinen;Sisältyy hintaan;;;Moovy;;12.5.2022;
22;2;Type 2;11;Puistokatu 10;23458778;6704142;Turku Energia;Åbo Energi;Turku Energia;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;2;Type 2;15;Puutarhakatu 4;23459372;6704737;Turku Energia;Åbo Energi;Turku Energia;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;2;Type 2;23;Hämeenkatu 8;23460563;6704660;Turku Energia;Åbo Energi;Turku Energia;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;2;Type 2;24;Kiinanmyllynkatu 10;23461145;6704644;Turku Energia;Åbo Energi;Turku Energia;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;1;Type 2;36;Aninkaistenkatu 20;23459724;6705152;Turku Energia;Åbo Energi;Turku Energia;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
43;1;Type 2;36;Aninkaistenkatu 20;23459724;6705152;Turku Energia;Åbo Energi;Turku Energia;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
50;1;CCS;36;Aninkaistenkatu 20;23459724;6705152;Turku Energia;Åbo Energi;Turku Energia;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
50;1;CHAdeMO;36;Aninkaistenkatu 20;23459724;6705152;Turku Energia;Åbo Energi;Turku Energia;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;4;Type 2;1;Messukentänkatu 9-13;23455035;6704984;Turun Messukeskus;Åbo Mässcentrum;Turku Fair Center;Asiakas;Maksullinen;;;Virta app;;12.5.2022;
22;4;Type 2;27;Lemminkäisenkatu 32;23461582;6704050;Turun Teknologiakiinteistöt;Turun Teknologiakiinteistöt;Turku Technology Properties;Asiakas/suljettu;Maksullinen;;;Virta app;;12.5.2022;
22;4;Type 2;50;Naturakuja 1;23460535;6705009;Turun Yliopisto;Turun Teknologiakiinteistöt;University of Turku;Asiakas/julkinen;Maksullinen;;;Eparking;;12.5.2022;
17;1;Tesla;6;Kuormakatu 16;23463014,3;6707786,1;Unique Home;Unique Home;Unique Home;Asiakas/julkinen;;;;Tesla;;12.5.2022;
17;1;Type 2;6;Kuormakatu 16;23463014,3;6707786,1;Unique Home;Unique Home;Unique Home;Asiakas/julkinen;;;;Tesla;;12.5.2022;
50;2;CCS;49;Lemminkäisenkatu 34;23461574;6703930;Veritas;Veritas;Veritas;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
50;2;CHAdeMO;49;Lemminkäisenkatu 34;23461574;6703930;Veritas;Veritas;Veritas;Julkinen;Maksullinen;;;Virta app;;12.5.2022;
22;2;Type 2;51;Alakyläntie 2;23457435;6705351;Veritas;Veritas;Veritas;Asiakas/julkinen;Ilmainen;;;Avaus hallinnoijalta;;12.5.2022;
11;1;Type 2;5;Vanha tampereentie 186;23462473;6708481;Wurth oy;Wurth oy;Wurth oy;Asiakas/suljettu;Ilmainen;;;Avaus hallinnoijalta;;12.5.2022;
22;4;Type 2;9;Ratapihankatu 53;23458575;6704625;;;;Julkinen;;;;;;12.5.2022;
300;4;CCS;52;Biolinja 27;23463079;6702221;;;;;;;;;;12.5.2022;
22;2;Type 2;63;Tasalanaukio 1-9;23454143;6708392;;;;Julkinen;Maksullinen;;;Eparking;;12.5.2022;
;317;;;;;;;;;;;;;;;;
